Item ID,Name,Width (cm),Depth (cm),Height (cm),Mass (kg),Priority (1-100),Expiry Date (ISO Format),Usage Limit,Preferred Zone
ITEM001,Food Packet,10,10,20,5,80,2025-05-20,30,Crew Quarters
ITEM002,Oxygen Cylinder,15,15,50,30,95,N/A,100,Airlock
ITEM003,First Aid Kit,20,20,10,2,100,2025-07-10,5,Medical Bay
ITEM004,Tool Kit,25,15,10,8,75,N/A,50,Workshop
ITEM005,Water Container,30,30,40,25,90,2024-12-15,N/A,Crew Quarters
ITEM006,Battery Pack,15,10,5,3,85,2026-03-01,100,Workshop
ITEM007,Medical Supplies,20,15,25,4,95,2024-11-30,25,Medical Bay
ITEM008,Spare Parts Kit,30,20,10,12,60,N/A,N/A,Workshop
ITEM009,Experiment Module,50,50,50,40,90,2025-09-15,N/A,Laboratory
ITEM010,Cleaning Supplies,25,15,40,8,40,N/A,200,Sanitation
