Item ID,Name,Width (cm),Depth (cm),Height (cm),Mass (kg),Priority (1-100),Expiry Date (ISO Format),Usage Limit,Preferred Zone
ITEM006,Battery Pack,15,10,5,3,85,01-03-2026,100.0,Workshop
ITEM819,Biological Sample Kit,47,14,86,43,73,08-08-2029,,Storage
ITEM010,Cleaning Supplies,25,15,40,8,40,,200.0,Sanitation
ITEM750,Emergency Blanket,26,10,13,23,56,23-11-2026,,Airlock
ITEM889,Fire Extinguisher,25,27,97,40,84,,,Storage
ITEM003,First Aid Kit,20,20,10,2,100,10-07-2025,5.0,Medical Bay
ITEM546,First Response Kit,27,35,26,22,89,05-12-2027,124.0,Science Lab
ITEM001,Food Packet,10,10,20,5,80,20-05-2025,30.0,Crew Quarters
ITEM923,Gas Analyzer,12,19,93,31,82,,,Workshop
ITEM846,Geological Sampler,13,14,10,16,83,,17.0,Crew Quarters
ITEM913,Handheld Scanner,30,21,76,19,57,,,Workshop
ITEM007,Medical Supplies,20,15,25,4,95,30-11-2024,25.0,Medical Bay
ITEM682,Multitool,21,17,95,26,79,20-05-2026,,Airlock
ITEM002,Oxygen Cylinder,15,15,50,30,95,,100.0,Airlock
ITEM679,Plasma Cutter,39,14,77,48,65,09-06-2030,,Science Lab
ITEM415,Portable Generator,37,22,79,42,50,15-08-2029,,Medical Bay
ITEM876,Portable Oxygen Supply,36,48,12,7,61,28-02-2026,88.0,Workshop
ITEM686,Radiation Detector,19,20,54,45,90,28-05-2026,97.0,Airlock
ITEM877,Radiation Shielding,18,19,44,26,83,05-07-2027,,Storage
ITEM577,Satellite Phone,38,20,17,42,70,01-11-2027,131.0,Science Lab
ITEM807,Space Heater,47,40,61,1,62,27-12-2025,168.0,Crew Quarters
ITEM995,Spare Batteries,24,39,88,5,69,,,Storage
ITEM008,Spare Parts Kit,30,20,10,12,60,,,Workshop
ITEM522,Structural Repair Kit,43,22,38,12,73,,,Airlock
ITEM290,Survival Rations,44,37,97,28,90,18-11-2025,43.0,Science Lab
ITEM299,Thermal Suit,19,47,36,7,77,12-08-2026,,Workshop
ITEM004,Tool Kit,25,15,10,8,75,,50.0,Workshop
ITEM005,Water Container,30,30,40,25,90,15-12-2024,,Crew Quarters
ITEM225,Water Purifier,38,38,60,46,53,20-07-2029,21.0,Science Lab
ITEM1000,Solar Panel,20,16,176,10,12,,,Sanitation
ITEM1001,Navigation Kit,6,84,82,24,82,27-07-2033,324.0,Sanitation
ITEM1002,First Aid Box,83,92,179,14,9,27-06-2026,,Workshop
ITEM1003,Thermal Regulator,57,75,118,34,55,01-09-2029,,Workshop
ITEM1004,Power Adapter,68,85,11,2,46,31-08-2030,310.0,Workshop
ITEM1005,Survival Rations,97,77,104,27,40,02-11-2026,337.0,Airlock
ITEM1006,Radiation Shield,81,24,132,32,55,,419.0,Airlock
ITEM1007,Oxygen Tank,10,41,79,13,54,,,Control Room
ITEM1008,Hydration Pack,100,40,62,1,74,23-03-2035,242.0,Storage
ITEM1009,Tool Kit,44,65,60,14,32,,66.0,Storage
ITEM1010,Medical Scanner,18,36,132,13,88,29-03-2033,491.0,Workshop
ITEM1011,Data Recorder,9,30,74,5,76,,403.0,Airlock
ITEM1012,Portable Generator,99,31,198,42,18,,,Workshop
ITEM1013,Communication Module,28,16,155,49,53,,204.0,Control Room
ITEM1014,Air Purifier,47,32,15,6,55,25-12-2026,,Sanitation
ITEM1015,Insulation Panel,48,27,48,48,95,17-08-2032,,Airlock
ITEM1016,Mechanical Arm,72,24,34,26,98,03-10-2034,339.0,Airlock
ITEM1017,Biometric Sensor,28,61,72,40,59,,461.0,Control Room
ITEM1018,Fuel Canister,92,73,84,33,92,,99.0,Sanitation
ITEM1019,Antimicrobial Spray,10,86,191,1,1,16-09-2028,,Storage
ITEM1020,Shock Absorber,5,61,45,24,71,30-03-2030,318.0,Sanitation
ITEM1021,Tensile Rope,71,47,175,7,36,,439.0,Workshop
ITEM1022,Glass Cutter,86,8,125,47,88,,459.0,Control Room
ITEM1023,Radiation Detector,7,8,122,36,57,26-08-2034,,Control Room
ITEM1024,Magnetic Boots,63,91,49,19,12,03-10-2028,459.0,Control Room
ITEM1025,Emergency Beacon,67,54,103,37,53,,470.0,Sanitation
ITEM1026,Safety Harness,86,35,6,13,66,03-11-2029,288.0,Control Room
ITEM1027,Cryogenic Flask,47,7,59,34,26,06-11-2030,,Control Room
ITEM1028,Water Filtration Unit,5,94,117,4,7,07-12-2031,485.0,Storage
ITEM1029,Thermal Imaging Camera,19,77,64,49,72,03-02-2035,433.0,Workshop
ITEM1030,Insulated Gloves,92,85,94,33,10,05-12-2028,487.0,Storage
ITEM1031,Acoustic Sensor,94,35,162,32,47,03-05-2030,,Workshop
ITEM1032,Energy Storage Unit,45,65,91,45,8,13-09-2026,371.0,Airlock
ITEM1033,Biosensor Module,66,65,29,18,95,,383.0,Storage
ITEM1034,Aerogel Padding,5,42,114,46,68,16-05-2032,465.0,Sanitation
ITEM1035,Carbon Filter,95,43,14,24,6,,,Storage
ITEM1036,Evacuation Pod,49,88,161,2,80,04-05-2031,,Sanitation
ITEM1037,Heat Shield,26,24,5,9,22,28-07-2032,,Control Room
ITEM1038,Geiger Counter,44,67,130,8,42,,256.0,Airlock
ITEM1039,Microbial Detector,28,75,62,50,28,28-09-2028,,Airlock
ITEM1040,Alloy Reinforcement,48,99,83,23,58,,,Sanitation
ITEM1041,Structural Foam,72,84,15,35,98,21-07-2028,,Control Room
ITEM1042,Sealing Compound,77,62,23,25,19,,471.0,Airlock
ITEM1043,Modular Frame,65,48,7,3,47,06-09-2029,,Sanitation
ITEM1044,Pressure Regulator,89,91,187,40,90,12-03-2032,347.0,Storage
ITEM1045,Hydraulic Pump,21,89,78,31,73,08-02-2029,285.0,Storage
ITEM1046,Lubrication System,36,62,162,42,87,27-08-2033,488.0,Storage
ITEM1047,Impact Absorber,34,64,63,45,48,26-03-2035,315.0,Control Room
ITEM1048,Adaptive Cooling System,60,78,158,22,7,04-06-2026,,Airlock
ITEM1049,Plasma Cutter,37,63,152,40,42,18-11-2031,,Storage
ITEM1050,Laser Torch,23,8,95,43,70,10-03-2035,185.0,Control Room
ITEM1051,Multi-tool,34,54,140,43,95,07-04-2033,385.0,Airlock
ITEM1052,Portable Shelter,94,43,36,38,85,,73.0,Control Room
ITEM1053,Anti-static Mat,61,84,35,18,36,19-02-2034,157.0,Airlock
